feature,importance
systemSellPrice_lag_1,0.2795421
OCGT,0.06770345
systemSellPrice_rolling_24h_std,0.06766085
gas_price_high,0.051186513
systemSellPrice_lag_2,0.03474227
systemSellPrice_rolling_7d_mean,0.03402811
cloud_cover,0.03214301
INTEW,0.030816762
INTIFA2,0.027622739
gas_price_close_lag_48,0.026052782
systemSellPrice_rolling_24h_mean,0.025969103
WIND,0.018988142
NUCLEAR,0.018972557
settlementPeriod,0.017173255
sentiment_score,0.017003423
total_interconnector_imports,0.016166076
INTVKL,0.014775348
COAL,0.013050355
INTNED,0.012832556
NPSHYD,0.011799175
initialDemandOutturn,0.011471047
PS,0.011376424
INTIRL,0.011300373
INTFR,0.0111422185
BIOMASS,0.010668509
INTGRNL,0.009330358
daily_sentiment_lag_48,0.009291553
gas_price_low,0.0092336815
INTNSL,0.009029478
wind_speed_10m,0.00860059
INTNEM,0.007903059
CCGT,0.007801551
gas_price_close_lag_96,0.0075202347
systemSellPrice_lag_48,0.0074173384
OTHER,0.0070981514
gas_price_close,0.007061163
solar_generation_mw,0.0068002236
INTELEC,0.004140654
initialTransmissionSystemDemandOutturn,0.0038232196
gas_price_day_change,0.0038232084
article_count,0.0036131637
month,0.003523698
article_count_lag_48,0.0029073122
temperature_2m,0.002820286
hour,0.0023280634
day_of_week,0.0017459587
INTELE,0.0
OIL,0.0
systemBuyPrice_lag_1,0.0
is_weekend,0.0
