Fold,Model,Config,MAE,RMSE,MAPE,R2
1,ARIMA,Price-Only,39.24646558946597,48.281114013662986,239.48295091783524,-0.23700145049524335
1,XGBoost,With Sentiment,26.300199055506024,45.64455163372557,166.97997733924694,-0.10558855725581373
1,LSTM,With Sentiment,28.025364761639196,35.05032902751716,212.14159370412324,0.34807168690432366
1,Transformer,With Sentiment,48.74911324352704,65.30867190238362,197.55222442000303,-1.2633793473086659
1,Simplified TFT,With Sentiment,184.6994107383573,293.19572472495645,493.52767467189176,-44.61744015721858
1,XGBoost,Without Sentiment,24.679637355317315,39.385138374673645,165.8197125746919,0.17684732147204818
1,LSTM,Without Sentiment,27.590332137831574,35.80518069645479,223.97451515174174,0.3196891709506149
1,Transformer,Without Sentiment,36.225614119128146,47.49428697698218,291.98029501780627,-0.19701168126424062
1,Simplified TFT,Without Sentiment,105.18917210753017,153.26261656962035,253.80106795509337,-11.464880403291668
2,ARIMA,Price-Only,48.15935406112924,55.16809346930326,132.06325646465186,-1.751435166823763
2,XGBoost,With Sentiment,17.06832750351723,23.382243270570996,94.69229847891465,0.5057397530362946
2,LSTM,With Sentiment,24.028165099051897,29.93187007762597,114.96027928938386,0.19006337974218313
2,Transformer,With Sentiment,23.003260076744795,29.44808764010614,166.45458793799037,0.2160334613862246
2,Simplified TFT,With Sentiment,25.25681205566131,31.80605136829195,126.46791773474853,0.08545970670330105
2,XGBoost,Without Sentiment,17.26612273447247,24.71371084214564,89.05901119475854,0.44784723086850475
2,LSTM,Without Sentiment,23.011907621328344,28.81492689360522,108.3528901465574,0.2493830335152798
2,Transformer,Without Sentiment,21.785851957181915,28.096419902830796,108.65496305565307,0.28634994722918783
2,Simplified TFT,Without Sentiment,26.962105451173315,33.55636752724824,120.99342752940854,-0.017965869889078112
3,ARIMA,Price-Only,35.64811289011226,47.49545319138207,297.4274892238357,-0.17110180658164453
3,XGBoost,With Sentiment,18.744687453499484,24.141104797447284,98.66667786947158,0.6974446327065579
3,LSTM,With Sentiment,23.965741161424674,29.803698253040324,139.31532141327284,0.5388620182508294
3,Transformer,With Sentiment,24.21707100909862,30.11924303555521,148.79820554665324,0.5290457887186846
3,Simplified TFT,With Sentiment,25.91533711289295,33.47622770855588,136.5872506714648,0.41821354539144917
3,XGBoost,Without Sentiment,18.214969868573355,23.60416938222595,95.60107672429432,0.7107535590266942
3,LSTM,Without Sentiment,24.207460874464232,30.00683035839186,121.87055183181279,0.5325546703058943
3,Transformer,Without Sentiment,25.08724990055126,31.200128629186512,157.62952715907736,0.49463710942194294
3,Simplified TFT,Without Sentiment,27.47116046497508,35.45416460603683,193.08617631141556,0.34743302336551973
4,ARIMA,Price-Only,28.777158479120448,36.54373620421877,140.58720990969073,-0.019084646785165527
4,XGBoost,With Sentiment,16.277328604523785,21.207035286347622,52.558877413931135,0.6568023683118737
4,LSTM,With Sentiment,20.660910399349703,25.29757870752499,66.87893631081707,0.5116375365163623
4,Transformer,With Sentiment,21.609089943257793,27.18033077385635,61.66532031084149,0.4362405439242485
4,Simplified TFT,With Sentiment,23.73151903974832,29.333538932140048,71.89677868407783,0.34338123935323694
4,XGBoost,Without Sentiment,16.32394443478691,21.062968547068365,54.30086055050386,0.6614494507643689
4,LSTM,Without Sentiment,21.074706377944832,26.175428968097936,67.76624049882105,0.47715617924873277
4,Transformer,Without Sentiment,21.114465834916704,25.538363225864213,78.15781506544798,0.5022967424170999
4,Simplified TFT,Without Sentiment,23.788584799043363,29.221235071808422,98.23708832983758,0.3483993630019626
5,ARIMA,Price-Only,46.099726273465954,52.448821895491506,267.22695571135176,-0.09032782556689378
5,XGBoost,With Sentiment,20.132284067296684,26.684535506084273,121.51920478432736,0.7177688693876231
5,LSTM,With Sentiment,25.66037816192031,32.257040491934305,172.40228877646115,0.587584803800987
5,Transformer,With Sentiment,27.810389070484614,35.15147331605833,125.57227472344472,0.5102519838118293
5,Simplified TFT,With Sentiment,26.262072375908534,33.57279875409918,167.59547287836176,0.553253956598299
5,XGBoost,Without Sentiment,19.96903202506532,26.576625060298348,119.93071819145705,0.7200469009275741
5,LSTM,Without Sentiment,24.067044679363967,30.302816330393604,151.91637695740516,0.6360417169845499
5,Transformer,Without Sentiment,26.799837367483672,33.339116568400186,128.47072996425177,0.5594514302368694
5,Simplified TFT,Without Sentiment,32.879733103308155,39.288890486472276,161.50043841223615,0.3881779150629916
